brand,category,Size,Sleeve,Bust,Letter Size,Numeric Size,Waist,Hips,Length,Inseam,Height
Gap Size Charts,Tops - Numeric Sizes,0,30¾,31½,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,1,31,32½,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,2,31¼,33½,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,4,31½,34½,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,6,32,35½,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,8,32½,36½,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,10,33,37½,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,12,33¼,39,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,14,33½,40½,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,16,33¾,42,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,18,34,44,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,20,34½,46,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,22,35,47½,,,,,,,
Gap Size Charts,Tops - Alpha Sizes,XXS,30¾,31½,,,,,,,
Gap Size Charts,Tops - Alpha Sizes,XS,31 - 31¼,32½ - 33½,,,,,,,
Gap Size Charts,Tops - Alpha Sizes,S,31½ - 32,34½ - 35½,,,,,,,
Gap Size Charts,Tops - Alpha Sizes,M,32½ - 33,36½ - 37½,,,,,,,
Gap Size Charts,Tops - Alpha Sizes,L,33¼ - 33½,39 - 40½,,,,,,,
Gap Size Charts,Tops - Alpha Sizes,XL,33¾ - 34,42 - 44,,,,,,,
Gap Size Charts,Tops - Alpha Sizes,XXL,34½ - 35,46 - 47½,,,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,32¾,31½,XXS,0,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,33,32½,XS,1,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,33¼,33½,XS,2,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,33½,34½,S,4,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,34,35½,S,6,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,34½,36½,M,8,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,35,37½,M,10,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,35¼,39,L,12,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,35½,40½,L,14,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,35¾,42,XL,16,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,36,44,XL,18,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,36½,46,XXL,20,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,37,47½,XXL,22,,,,,
Gap Size Charts,Tall Tops - Alpha Sizes,XXS,32¾,31½,,,,,,,
Gap Size Charts,Tall Tops - Alpha Sizes,XS,33 - 33¼,32½ - 33½,,,,,,,
Gap Size Charts,Tall Tops - Alpha Sizes,S,33½ - 34,34½ - 35½,,,,,,,
Gap Size Charts,Tall Tops - Alpha Sizes,M,34½ - 35,36½ - 37½,,,,,,,
Gap Size Charts,Tall Tops - Alpha Sizes,L,35¼ - 35½,39 - 40½,,,,,,,
Gap Size Charts,Tall Tops - Alpha Sizes,XL,35¾ - 36,42 - 44,,,,,,,
