Brands,Letter_sizing,Bust
Amazon,XS,32.5
Amazon,S,34.5
Amazon,M,36.5
Amazon,L,39.25
Amazon,XL,42.25
Abercrombie & Fitch Size Charts,XS,32.5
Abercrombie & Fitch Size Charts,S,34.5
Abercrombie & Fitch Size Charts,M,36.5
Abercrombie & Fitch Size Charts,L,38
Addidas,XXS,29.3
Addidas,XS,31.3
Addidas,S,33.7
Addidas,M,36
Addidas,L,38.6
Addidas,XL,41.5
Addidas,XXL,44.9
Aerpostale,XXS,30.5
Aerpostale,XS,31.5
Aerpostale,XS,32.5
Aerpostale,S,33.5
Aerpostale,S,34.5
Aerpostale,M,35.5
Aerpostale,M,36.5
Aerpostale,L,38
Aerpostale,L,39.5
Aerpostale,XL,41
Aerpostale,XL,42.5
Aerpostale,XXL,44
Affliction Size Charts,XS,32.5
Alloy Size Charts,XS,31.5
Alloy Size Charts,XXL,45
Alloy Size Charts,XXXL,49
American Eagle Outfitters Size Charts,XXS,31
American Eagle Outfitters Size Charts,XS,32.5
Alloy,XS,25
Alloy,S,27
Alloy,S,28
Alloy,M,29
Alloy,M,30
Alloy,L,31
Alloy,L,32
Alloy,XL,40
Alloy,XL,40
Alloy,XXL,37
American Eagle,XXS,31
American Eagle,XS,32.5
American Eagle,S,34.5
American Eagle,M,36.5
American Eagle Outfitters Size Charts,XXL,47
American Eagle,L,39.25
American Eagle,XL,42.5
American Eagle,XXL,47
Ann Taylor Size Charts,XXS,31
Ann Taylor Size Charts,XS,32.5
Ann Taylor Size Charts,XXL,45.5
Loft Size Charts,XXS,31.5
Loft Size Charts,XS,33
Loft Size Charts,S,35
Loft Size Charts,M,37
Loft Size Charts,L,39.75
Loft Size Charts,XL,42
Loft Size Charts,XXL,44
Anthropologie Size Charts,XXS,32
Anthropologie Size Charts,XS,33.5
Anthropologie Size Charts,S,35.5
Anthropologie Size Charts,M,37.5
Anthropologie Size Charts,L,40.25
Anthropologie Size Charts,XL,42.5
ASOS,XS,31
ASOS,XS,32
ASOS,S,33
ASOS,S,35
ASOS,M,37
ASOS,M,39
ASOS,L,41
ASOS,L,44
Banana Republic Size Charts,XS,32
Banana Republic Size Charts,S,34.5
Banana Republic Size Charts,M,36.5
Banana Republic Size Charts,L,39.25
Banana Republic Size Charts,XL,41.5
Calvin Klein,XS,33.5
Calvin Klein,S,35.5
Calvin Klein,M,37.5
Calvin Klein,L,39.5
Calvin Klein,XL,43
Carhartt Size Charts,XS,33
Carhartt Size Charts,S,34.5
Carhartt Size Charts,M,36.5
Carhartt Size Charts,L,39.25
Carhartt Size Charts,XL,42.5
Carhartt Size Charts,XXL,46
Express,XS,32
Express,S,34
Express,M,36.25
Express,L,39.5
Express,XL,44.25
Forever 21,XXS,31
Forever 21,XS,32
Forever 21,S,34.5
Forever 21,M,35.5
Forever 21,L,36.5
Forever 21,XL,39.5
Forever 21,XXL,43.5
francesca's,XXS,30.5
francesca's,XS,32.5
francesca's,S,34
francesca's,S,35
francesca's,M,36
francesca's,M,37
francesca's,L,38
francesca's,L,39
francesca's,XL,40
Free People Size Charts,XS,33.5
Free People Size Charts,S,35.5
Free People Size Charts,M,37.5
Free People Size Charts,L,39.5
Free People Size Charts,XL,41
French Connection USA Size Charts,XS,30.875
French Connection USA Size Charts,S,32.5
French Connection USA Size Charts,M,34.5
French Connection USA Size Charts,L,38.5
Gap Size Charts,XXS,31.5
Gap Size Charts,XS,33
Gap Size Charts,S,35
Gap Size Charts,M,37
Gap Size Charts,L,39.75
Gap Size Charts,XL,43
Gap Size Charts,XXL,46.75
Guess Size Charts,XS,34.25
Guess Size Charts,S,36.25
Guess Size Charts,M,38.25
Guess Size Charts,L,40.75
Guess Size Charts,XL,43.5
Guess Size Charts,XXL,45
Hanes Size Charts,XS,32.75
Hanes Size Charts,S,34.75
Hanes Size Charts,M,36.75
Hanes Size Charts,L,39.75
Hanes Size Charts,XL,42.75
Hanes Size Charts,XS,31.5
Hanes Size Charts,S,33.5
Hanes Size Charts,M,35.5
Hanes Size Charts,L,38
Hanes Size Charts,XL,40.75
Hanes Size Charts,2XL,43
Hanes Size Charts,3XL,45.5
H&M,XS,30.7
H&M,S,33.85
H&M,M,37
H&M,L,40.25
H&M,XL,44.375
Hollister Size Charts,XS,32
Hollister Size Charts,S,34.5
Hollister Size Charts,M,36.5
Hollister Size Charts,L,38
Hollister Size Charts,XL,39.5
Hollister Size Charts,XL,43
JCPenney's Liz Claiborne Size Charts,XS,33
JCPenney's Liz Claiborne Size Charts,S,35
JCPenney's Liz Claiborne Size Charts,M,37
