,Brands,Letter_sizing,Bust
0,Amazon,XS,32.5
1,Amazon,S,34.5
2,Amazon,M,36.5
3,Amazon,L,39.25
4,Amazon,XL,42.25
5,Abercrombie & Fitch,XS,32.5
6,Abercrombie & Fitch,S,34.5
7,Abercrombie & Fitch,M,36.5
8,Abercrombie & Fitch,L,38.0
9,Addidas,XXS,29.3
10,Addidas,XS,31.3
11,Addidas,S,33.7
12,Addidas,M,36.0
13,Addidas,L,38.6
14,Addidas,XL,41.5
15,Addidas,XXL,44.9
16,Aerpostale,XXS,30.5
17,Aerpostale,XS,31.5
18,Aerpostale,XS,32.5
19,Aerpostale,S,33.5
20,Aerpostale,S,34.5
21,Aerpostale,M,35.5
22,Aerpostale,M,36.5
23,Aerpostale,L,38.0
24,Aerpostale,L,39.5
25,Aerpostale,XL,41.0
26,Aerpostale,XL,42.5
27,Aerpostale,XXL,44.0
28,Affliction,XS,32.5
29,Alloy,XS,31.5
30,Alloy,XXL,45.0
31,Alloy,XXXL,49.0
32,American Eagle Outfitters,XXS,31.0
33,American Eagle Outfitters,XS,32.5
34,Alloy,XS,25.0
35,Alloy,S,27.0
36,Alloy,S,28.0
37,Alloy,M,29.0
38,Alloy,M,30.0
39,Alloy,L,31.0
40,Alloy,L,32.0
41,Alloy,XL,40.0
42,Alloy,XL,40.0
43,Alloy,XXL,37.0
44,American Eagle,XXS,31.0
45,American Eagle,XS,32.5
46,American Eagle,S,34.5
47,American Eagle,M,36.5
48,American Eagle Outfitters,XXL,47.0
49,American Eagle,L,39.25
50,American Eagle,XL,42.5
51,American Eagle,XXL,47.0
52,Ann Taylor,XXS,31.0
53,Ann Taylor,XS,32.5
54,Ann Taylor,XXL,45.5
55,Loft,XXS,31.5
56,Loft,XS,33.0
57,Loft,S,35.0
58,Loft,M,37.0
59,Loft,L,39.75
60,Loft,XL,42.0
61,Loft,XXL,44.0
62,Anthropologie,XXS,32.0
63,Anthropologie,XS,33.5
64,Anthropologie,S,35.5
65,Anthropologie,M,37.5
66,Anthropologie,L,40.25
67,Anthropologie,XL,42.5
68,ASOS,XS,31.0
69,ASOS,XS,32.0
70,ASOS,S,33.0
71,ASOS,S,35.0
72,ASOS,M,37.0
73,ASOS,M,39.0
74,ASOS,L,41.0
75,ASOS,L,44.0
76,Banana Republic,XS,32.0
77,Banana Republic,S,34.5
78,Banana Republic,M,36.5
79,Banana Republic,L,39.25
80,Banana Republic,XL,41.5
81,Calvin Klein,XS,33.5
82,Calvin Klein,S,35.5
83,Calvin Klein,M,37.5
84,Calvin Klein,L,39.5
85,Calvin Klein,XL,43.0
86,Carhartt,XS,33.0
87,Carhartt,S,34.5
88,Carhartt,M,36.5
89,Carhartt,L,39.25
90,Carhartt,XL,42.5
91,Carhartt,XXL,46.0
92,Express,XS,32.0
93,Express,S,34.0
94,Express,M,36.25
95,Express,L,39.5
96,Express,XL,44.25
97,Forever 21,XXS,31.0
98,Forever 21,XS,32.0
99,Forever 21,S,34.5
100,Forever 21,M,35.5
101,Forever 21,L,36.5
102,Forever 21,XL,39.5
103,Forever 21,XXL,43.5
104,Francesca's,XXS,30.5
105,Francesca's,XS,32.5
106,Francesca's,S,34.0
107,Francesca's,S,35.0
108,Francesca's,M,36.0
109,Francesca's,M,37.0
110,Francesca's,L,38.0
111,Francesca's,L,39.0
112,Francesca's,XL,40.0
113,Free People,XS,33.5
114,Free People,S,35.5
115,Free People,M,37.5
116,Free People,L,39.5
117,Free People,XL,41.0
118,French Connection USA,XS,30.875
119,French Connection USA,S,32.5
120,French Connection USA,M,34.5
121,French Connection USA,L,38.5
122,Gap,XXS,31.5
123,Gap,XS,33.0
124,Gap,S,35.0
125,Gap,M,37.0
126,Gap,L,39.75
127,Gap,XL,43.0
128,Gap,XXL,46.75
129,Guess,XS,34.25
130,Guess,S,36.25
131,Guess,M,38.25
132,Guess,L,40.75
133,Guess,XL,43.5
134,Guess,XXL,45.0
135,Hanes,XS,32.75
136,Hanes,S,34.75
137,Hanes,M,36.75
138,Hanes,L,39.75
139,Hanes,XL,42.75
140,Hanes,XS,31.5
141,Hanes,S,33.5
142,Hanes,M,35.5
143,Hanes,L,38.0
144,Hanes,XL,40.75
145,Hanes,2XL,43.0
146,Hanes,3XL,45.5
147,H&M,XS,30.7
148,H&M,S,33.85
149,H&M,M,37.0
150,H&M,L,40.25
151,H&M,XL,44.375
152,Hollister,XS,32.0
153,Hollister,S,34.5
154,Hollister,M,36.5
155,Hollister,L,38.0
156,Hollister,XL,39.5
157,Hollister,XL,43.0
158,JCPenney's Liz Claiborne,XS,33.0
159,JCPenney's Liz Claiborne,S,35.0
160,JCPenney's Liz Claiborne,M,37.0
161,JCPenney's Liz Claiborne,L,39.75
162,JCPenney's Liz Claiborne,XL,43.0
163,JCPenney's Liz Claiborne,XXL,46.0
164,J.Crew,XXXS,30.5
165,J.Crew,XXS,31.5
166,J.Crew,XS,33.0
167,J.Crew,S,35.0
168,J.Crew,M,37.0
169,J.Crew,L,39.75
170,J.Crew,XL,42.0
171,J.Crew,XXL,43.5
172,Jessica Simpson,XS,34.75
173,Jessica Simpson,S,36.75
174,Jessica Simpson,M,38.75
175,Jessica Simpson,L,41.25
176,Jessica Simpson,XL,44.25
177,Kohl's Daisy Fuentes,XS,33.0
178,Kohl's Daisy Fuentes,S,35.0
179,Kohl's Daisy Fuentes,M,37.0
180,Kohl's Daisy Fuentes,L,39.75
181,Kohl's Daisy Fuentes,XL,43.0
182,Levi's,XS,31.5
183,Levi's,M,35.5
184,Levi's,L,38.5
185,Levi's,XL,42.0
186,L.L.Bean,XS,31.5
187,L.L.Bean,S,33.5
188,L.L.Bean,M,35.5
189,L.L.Bean,L,37.75
190,L.L.Bean,XL,40.75
191,Lucky,XXS,30.75
192,Lucky,XS,32.75
193,Lucky,S,34.75
194,Lucky,M,36.75
195,Lucky,L,38.75
196,Lucky,XL,40.75
197,Lululemon athletica,XS,32.0
198,Lululemon athletica,S,34.0
199,Lululemon athletica,M,36.0
200,Lululemon athletica,L,38.0
201,Lululemon athletica,XL,40.0
202,Macy's Charter Club,XS,32.5
203,Macy's Charter Club,S,34.5
204,Macy's Charter Club,M,36.5
205,Macy's Charter Club,L,39.25
206,Macy's Charter Club,XL,42.25
207,Michael Kors,XXS,31.0
208,Nike,XS,31.0
209,Nike,S,34.0
210,Nike,M,38.0
211,Nike,L,41.0
212,Nike,XL,44.5
213,Nike,XXL,46.5
214,Old Navy,XS,32.0
215,Old Navy,S,34.5
216,Old Navy,M,36.5
217,Old Navy,L,39.5
218,Old Navy,XL,43.75
219,Pacsun,XS,33.5
220,Pacsun,S,35.5
221,Pacsun,M,37.5
222,Pacsun,L,40.25
223,Pacsun,XL,42.5
224,Puma,XS,32.0
225,Puma,S,34.0
226,Puma,M,36.0
227,Puma,L,38.0
228,Puma,XL,40.0
229,Ralph Lauren,XS,33.5
230,Ralph Lauren,S,36.0
231,Ralph Lauren,M,39.0
232,Ralph Lauren,L,43.5
233,Ralph Lauren,XL,47.0
234,Style & Co.,XS,33.0
235,Style & Co.,S,35.0
236,Style & Co.,M,37.25
237,Style & Co.,L,40.25
238,Style & Co.,XL,43.0
239,FashionNova,XS,32.5
240,FashionNova,S,34.5
241,FashionNova,M,36.5
242,FashionNova,L,39.25
243,FashionNova,XL,41.5
