,Brands,Unnamed: 1,Letter Sizing,Bust,Waist,Hips,Type
9,Addidas,Tops,XL,41.5,35.5,44.9,
20,Aerpostale,Tops,XL,41.0,33,43,
21,Aerpostale,Tops,XL,42.5,34.5,44.5,
43,Alloy,Tops,XL,40.0,43,40,
44,Alloy,Tops,XL,40.0,44,40,
53,American Eagle,Tops - Alpha Sizes,XL,42.5,,,Fast fashion 
63,Loft Size Charts,Tops - Alpha Sizes,XL,42.0,35,,
70,Anthropologie Size Charts,Tops - Alpha Sizes,XL,42.5,34.5,,
92,Banana Republic Size Charts,Tops & Sweaters - Alpha Sizes,XL,41.5,34.5,44.5,
94,BCBG,Tops,XL,44.0,,,
99,Calvin Klein ,Shirts & Blouses - Alpha Sizes,XL,43.0,35.5,45.5,
114,Carhartt Size Charts,Shirts - Alpha Sizes,XL,42.5,35.5,45.5,
120,Cato Fashions Size Charts,Tops - Alpha Sizes,XL,43.5,35.5,45.5,
163,Dockers Size Charts,Tops,XL,43.5,,,
168,dressbarn Size Charts,Tops - Alpha Sizes,XL,42.5,36.5,,
173,Eddie Bauer Size Charts,Tops - Alpha Sizes,XL,42.25,,,
179,Eileen Fisher Size Charts,Tops - Alpha Sizes,XL,44.5,,,
187,Express ,Tops - Alpha Sizes,XL,44.25,,,
193,Forever 21 ,Tops - Alpha Sizes,XL,39.5,31,44,
206,francesca's ,Tops,XL,40.0,32,42,
224,Gap Size Charts,Tops - Alpha Sizes,XL,43.0,,,
229,Greg Norman Size Charts,Tops,XL,42.0,,,
244,Guess Size Charts,Tops - Alphabetic sizes,XL,43.5,34..75,45.5,Fast Fashion 
252,Hanes Size Charts,Hanes Signature Tops,XL,42.75,35.25,,
257,Hanes Size Charts,Sweats and Casual Tops,XL,40.75,33.25,,
265,H&M,shirts,XL,44.375,38.88,45.5,Fast Fashion 
282,Hurley Size Charts,Tops - Alpha Sizes,XL,39.75,31.75,,
287,James Jeans Size Charts,Shirts - Alpha,XL,41.0,32.5,,
304,JCPenney's Liz Claiborne Size Charts,Tops - Alpha Sizes,XL,43.0,36,46,
312,J.Crew Size Charts,Tops - Alpha Sizes,XL,42.0,34.5,,
318,Jessica Simpson Size Charts,Tops - Alpha Sizes,XL,44.25,40.75,50,
344,Jones New York Size Charts,Tops - Alpha Sizes,XL,43.5,36.5,,
350,Juicy Couture Size Charts,Tops - Alpha Sizes,XL,40.5,33,43,
374,Kut from the Kloth Size Charts,"Bouses, Shirts and T-Shirts",XL,41.5,33.5,43.5,
380,Lands' End Size Charts,Tops - Alpha Sizes,XL,44.0,,,
384,Lee Size Charts,Tops,XL,44.75,38.75,46.25,
389,Levi's Size Charts,Tops,XL,42.0,34.5,43.5,
401,Lucky Size Charts,Tops - Alpha Sizes,XL,40.75,33.75,,
412,Macy's Charter Club Size Charts,Tops - Alpha Sizes,XL,42.25,34.25,45.5,
418,Michael Kors Size Charts,Tops - Alpha Sizes,XL,42.0,35,,
423,ModCloth Size Charts,Tops,XL,42.0,34,44,
437,Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Alpha Sizes",XL,44.5,36.5,45.5,
443,NYDJ Size Charts,Tops - Alpha Sizes,XL,42.25,35.75,46.25,
448,Old Navy Size Charts,Tops - Alpha Sizes,XL,43.75,35.75,,
471,Paige Size Charts,Blouses and Shirts - Alpha Sizes,XL,40.0,33,43,
496,PinkBlush  Size Charts,Tops - Alpha Sizes,XL,39.0,,43,
502,Puma Size Charts,Tops,XL,40.0,34,44,
518,Ralph Lauren Size Charts,Tops - Alpha Sizes,XL,47.0,41,,
524,Black Label Size Charts,Tops - Alpha Sizes,XL,43.0,36,45,
529,Blue Label Size Charts,Tops - Alpha Sizes,XL,43.0,36,45,
542,Golf Size Charts,Shirts and T-Shirts - Alpha Sizes,XL,42.5,34.5,44.5,
547,Lauren Active Size Charts,Tops - Alpha Sizes,XL,42.5,35.5,45.5,
552,Pink Pony Size Charts,Tops - Alpha Sizes,XL,43.0,36,45,
568,Tennis Size Charts,Tops - Alpha Sizes,XL,43.0,36,45,
578,Roxy Size Charts,Tops - Alpha Sizes,XL,38.5,31,41,
583,Style & Co. Size Charts,Tops - Alpha Sizes,XL,43.0,36,46,
589,Tadashi Shoji Size Charts,Tops - Alpha Sizes,XL,42.5,35,45.5,
616,Talbots Size Charts,"Blouses, Shirts and Sweaters - Alpha Sizes",XL,44.5,37.5,47.5,
625,The Limited Size Charts,Tops - Alpha Sizes,XL,42.75,,45.5,
630,Three Dots Size Charts,Shirts and T-Shirts,XL,40.5,32.5,42.5,
640,Timberland Size Charts,"T-Shirts, Sweaters, Sweatshirts",XL,42.0,,,
646,Tommy Bahama Size Charts,"Blouses, Shirts, T-Shirts, Sweaters, Sweatshirts",XL,42.0,35,45.5,
652,Tori Richard Size Charts,"Tops, Coverups - Alpha Sizes",XL,41.5,34,43.5,
658,Tory Burch Size Charts,"Shirts, T-Shirts, Tunics, Sweaters - Alpha Sizes",XL,41.75,33.75,43.75,
663,True Religion Size Charts,"Shirts, T-Shirts",XL,39.5,31.5,41.5,
684,Urban Outfitters Size Charts,Shirts,XL,42.0,34,44,
693,Victoria's Secret,Tops - Alpha Sizes,XL,40.5,32,42.5,Fast fashion
694,Victoria's Secret,Tops - Alpha Sizes,XL,42.5,34,44.5,Fast fashion
701,White House/Black Market Size Charts,"Shirts, T-shirts, Sweaters",XL,42.5,35,45,Higher end
706,FashionNova,"Shirts, T-shirts, Sweaters",XL,41.5,33.5,44.5,Fast fashion
