Brands,Sizes,Bust
Abercrombie & Fitch Size Charts,S,34.5
Abercrombie & Fitch Size Charts,M,36.5
Abercrombie & Fitch Size Charts,L,38
Addidas,S ,33.7
Addidas,M ,36
Addidas,L ,38.6
Addidas,XL,41.5
Aerpostale,S,33.5
Aerpostale,S,34.5
Aerpostale,M ,35.5
Aerpostale,M ,36.5
Aerpostale,L,38
Aerpostale,L,39.5
Aerpostale,XL,41
Aerpostale,XL,42.5
American Eagle Outfitters Size Charts,S,34.5
American Eagle Outfitters Size Charts,M,36.5
American Eagle Outfitters Size Charts,L,39.75
American Eagle Outfitters Size Charts,XL,42.5
Anne Klein Size Charts,S,35.5
Anne Klein Size Charts,M,37.5
Anne Klein Size Charts,L,40.25
Anne Klein Size Charts,XL,43
Ann Taylor Size Charts,S,34.5
Ann Taylor Size Charts,M,36.5
Ann Taylor Size Charts,L,39.25
Ann Taylor Size Charts,XL,43.5
Loft Size Charts,S,35
Loft Size Charts,M,37
Loft Size Charts,L,39.75
Loft Size Charts,XL,42
Anthropologie Size Charts,S,35.5
Anthropologie Size Charts,M,37.5
Anthropologie Size Charts,L,40.25
Anthropologie Size Charts,XL,42.5
ASOS ,S,33
ASOS ,S,35
ASOS ,M,37
ASOS ,M,39
ASOS ,L,41
ASOS ,L,44
Banana Republic Size Charts,S,34.5
Banana Republic Size Charts,M,36.5
Banana Republic Size Charts,L,39.25
Banana Republic Size Charts,XL,41.5
Calvin Klein Size Charts,S,36
Calvin Klein Size Charts,M,38
Calvin Klein Size Charts,L,41.5
Calvin Klein Size Charts,XL,44.5
Carhartt Size Charts,S,34.5
Carhartt Size Charts,M,36.5
Carhartt Size Charts,L,39.25
Carhartt Size Charts,XL,42.5
Cato Fashions Size Charts,S,35.5
Cato Fashions Size Charts,M,37.75
Cato Fashions Size Charts,L,40.75
Cato Fashions Size Charts,XL,43.5
Club Monaco Size Charts,S,34
Club Monaco Size Charts,M,36
Club Monaco Size Charts,L,38.75
Express Size Charts,S,34
Express Size Charts,M,36.25
Express Size Charts,L,39.25
Express Size Charts,XL,42.25
Forever 21 Size Charts,S,34
Forever 21 Size Charts,M,36
Forever 21 Size Charts,L,38
francesca's Size Charts,S,33.5
francesca's Size Charts,M,36.5
francesca's Size Charts,L,38.5
French Connection USA Size Charts,S,32.5
French Connection USA Size Charts,M,34.5
French Connection USA Size Charts,L,38.5
Gap Size Charts,S,35
Gap Size Charts,M,37
Gap Size Charts,L,39.75
Gap Size Charts,XL,43
Guess Size Charts,S,35.5
Guess Size Charts,M,37.5
Guess Size Charts,L,40
H&M,S,32¼-35½
H&M,M,35½-38½
H&M,L,40.25
H&M,XL,42-46¾
Hot Miami Styles Size Charts,S,32.5
Hot Miami Styles Size Charts,M,34.5
Hot Miami Styles Size Charts,L,36.5
Hurley Size Charts,S,33.75
Hurley Size Charts,M,35.75
Hurley Size Charts,L,37.75
Hurley Size Charts,XL,39.75
James Jeans Size Charts,S,34
James Jeans Size Charts,M,36
James Jeans Size Charts,L,38.75
James Jeans Size Charts,XL,41
J Brand Size Charts,S,33
J Brand Size Charts,M,35
J Brand Size Charts,L,36.5
JCPenney's Liz Claiborne Size Charts,S,35
JCPenney's Liz Claiborne Size Charts,M,37
JCPenney's Liz Claiborne Size Charts,L,39.75
JCPenney's Liz Claiborne Size Charts,XL,43
J.Crew Size Charts,S,35
J.Crew Size Charts,M,37
J.Crew Size Charts,L,39.75
J.Crew Size Charts,XL,42
Juicy Couture Size Charts,S,34
Juicy Couture Size Charts,M,36
Juicy Couture Size Charts,L,38.25
Juicy Couture Size Charts,XL,40.5
Kut from the Kloth Size Charts,S,35.5
Kut from the Kloth Size Charts,M,37.5
Kut from the Kloth Size Charts,L,39.5
Kut from the Kloth Size Charts,XL,41.5
Lee Size Charts,S,35.5
Lee Size Charts,M,38.75
Lee Size Charts,L,41.75
Lee Size Charts,XL,44.75
Levi's Size Charts,M,35.5
Levi's Size Charts,L,38.5
Levi's Size Charts,XL,42
Lucky Size Charts,S,34.75
Lucky Size Charts,M,36.75
Lucky Size Charts,L,38.75
Lucky Size Charts,XL,40.75
Macy's Charter Club Size Charts,S,34.5
Macy's Charter Club Size Charts,M,36.5
Macy's Charter Club Size Charts,L,39.25
Macy's Charter Club Size Charts,XL,42.25
Michael Kors Size Charts,S,34.5
Michael Kors Size Charts,M,36.75
Michael Kors Size Charts,L,39.75
Michael Kors Size Charts,XL,42
ModCloth Size Charts,S,34
ModCloth Size Charts,M,36
ModCloth Size Charts,L,39
ModCloth Size Charts,XL,42
Nicole Miller Size Charts,S,34.5
Nicole Miller Size Charts,M,36.5
Nicole Miller Size Charts,L,39.25
Nike Size Charts,S,34
Nike Size Charts,M,38
Nike Size Charts,L,41
Nike Size Charts,XL,44.5
NYDJ Size Charts,S,34.5
NYDJ Size Charts,M,36.5
NYDJ Size Charts,L,39.25
NYDJ Size Charts,XL,42.25
Old Navy Size Charts,S,34.5
Old Navy Size Charts,M,36.5
Old Navy Size Charts,L,39.5
Old Navy Size Charts,XL,43.75
Paige Size Charts,S,34.5
Paige Size Charts,M,36.5
Paige Size Charts,L,38.25
Paige Size Charts,XL,40
Puma Size Charts,S,34
Puma Size Charts,M,36
Puma Size Charts,L,38
Puma Size Charts,XL,40
Quiksilver Size Charts,S,33.75
Quiksilver Size Charts,M,35.75
Quiksilver Size Charts,L,37.75
