brands ,Letter Sizing,Bust 
Abercrombie & Fitch Size Charts,XS,32.5
Abercrombie & Fitch Size Charts,S,34.5
Abercrombie & Fitch Size Charts,M,36.5
Abercrombie & Fitch Size Charts,L,38
Addidas,XXS,29.3
Addidas,XS ,31.3
Addidas,S ,33.7
Addidas,M ,36
Addidas,L ,38.6
Addidas,XL,41.5
Addidas,XXL,44.9
Aerpostale,XXS,30.5
Aerpostale,XS,31.5
Aerpostale,XS,32.5
Aerpostale,S,33.5
Aerpostale,S,34.5
Aerpostale,M ,35.5
Aerpostale,M ,36.5
Aerpostale,L,38
Aerpostale,L,39.5
Aerpostale,XL,41
Aerpostale,XL,42.5
Aerpostale,XXL,44
Affliction Size Charts,XS,32.5
Alloy Size Charts,XS,31.5
Alloy Size Charts,XXL,45
Alloy Size Charts,XXXL,49
American Apparel Size Charts,,27
American Apparel Size Charts,,29
American Apparel Size Charts,,31
American Apparel Size Charts,,33
American Apparel Size Charts,,37
American Apparel Size Charts,,41
American Apparel Size Charts,,45
American Eagle Outfitters Size Charts,XXS,31
American Eagle Outfitters Size Charts,XS,32.5
Alloy,XS,25
Alloy,S,27
Alloy,S,28
Alloy,M,29
Alloy,M,30
Alloy,L,31
Alloy,L,32
Alloy,XL,40
Alloy,XL,40
Alloy,XXL,37
American Eagle,XXS,31
American Eagle,XS,32.5
American Eagle,S,34.5
American Eagle,M,36.5
American Eagle Outfitters Size Charts,XXL,47
Anne Klein Size Charts,XS,33.5
American Eagle,L,39.25
American Eagle,XL,42.5
American Eagle,XXL,47
Ann Taylor Size Charts,XXS,31
Ann Taylor Size Charts,XS,32.5
Ann Taylor Size Charts,XXL,45.5
Loft Size Charts,XXS,31.5
Loft Size Charts,XS,33
Loft Size Charts,S,35
Loft Size Charts,M,37
Loft Size Charts,L,39.75
Loft Size Charts,XL,42
Loft Size Charts,XXL,44
Anthropologie Size Charts,XXS,32
Anthropologie Size Charts,XS,33.5
Anthropologie Size Charts,S,35.5
Anthropologie Size Charts,M,37.5
Anthropologie Size Charts,L,40.25
Anthropologie Size Charts,XL,42.5
Armani Size Charts,,30
Armani Size Charts,,32
Armani Size Charts,,34
Armani Size Charts,,36
Armani Size Charts,,38
Armani Size Charts,,40
Armani Size Charts,,42
Armani Size Charts,,44
Armani Size Charts,,46
ASOS ,XS,31
ASOS ,XS,32
ASOS ,S,33
ASOS ,S,35
ASOS ,M,37
ASOS ,M,39
ASOS ,L,41
ASOS ,L,44
Banana Republic Size Charts,XS,32
Banana Republic Size Charts,S,34.5
Banana Republic Size Charts,M,36.5
Banana Republic Size Charts,L,39.25
Banana Republic Size Charts,XL,41.5
BB Dakota Size Charts,XS,32
BCBG,XL,44
Calvin Klein ,XS,33.5
Calvin Klein ,S,35.5
Calvin Klein ,M,37.5
Calvin Klein ,L,39.5
Calvin Klein ,XL,43
Carhartt Size Charts,2,33
Carhartt Size Charts,4,34
Carhartt Size Charts,6,35
Carhartt Size Charts,8,36
Carhartt Size Charts,10,37
Carhartt Size Charts,12,38.5
Carhartt Size Charts,14,40
Carhartt Size Charts,16,41.5
Carhartt Size Charts,18,43.5
Carhartt Size Charts,20,46
Carhartt Size Charts,XS,33
Carhartt Size Charts,S,34.5
Carhartt Size Charts,M,36.5
Carhartt Size Charts,L,39.25
Carhartt Size Charts,XL,42.5
Carhartt Size Charts,XXL,46
Cato Fashions Size Charts,XS,33
Cato Fashions Size Charts,S,35.5
Cato Fashions Size Charts,M,37.75
Cato Fashions Size Charts,L,40.75
Cato Fashions Size Charts,XL,43.5
Chico's Size Charts,0,32.5
Chico's Size Charts,0,33.5
Chico's Size Charts,0,34.5
Chico's Size Charts,1,36.5
Chico's Size Charts,1.5,37.5
Chico's Size Charts,2,39
Chico's Size Charts,2.5,40.5
Chico's Size Charts,3,42
Chico's Size Charts,3.5,44
Chico's Size Charts,4,46
Chico's Size Charts,4.5,48
Chico's Size Charts,5,35.5
Club Monaco Size Charts,XS,32
Club Monaco Size Charts,S,34
Club Monaco Size Charts,M,36
Club Monaco Size Charts,L,38.75
Dickies Size Charts,,34.5
Dickies Size Charts,,36.5
Dickies Size Charts,,39
Dickies Size Charts,,42
Dickies Size Charts,,46
Dickies Size Charts,,50
Diesel Size Charts,,30
Diesel Size Charts,,32
Diesel Size Charts,,34
Diesel Size Charts,,36
Diesel Size Charts,,38
Diesel Size Charts,,40
Diesel Size Charts,,42
Diesel Size Charts,,44
Diesel Size Charts,,46
DKNY Size Charts,,32
DKNY Size Charts,,33
DKNY Size Charts,,34
DKNY Size Charts,,35
DKNY Size Charts,,36
DKNY Size Charts,,37
DKNY Size Charts,,38.5
DKNY Size Charts,,40
Dockers Size Charts,S,35.5
Dockers Size Charts,M,37.5
Dockers Size Charts,L,40.5
Dockers Size Charts,XL,43.5
dressbarn Size Charts,XS,32.5
dressbarn Size Charts,S,34.5
dressbarn Size Charts,M,36.5
dressbarn Size Charts,L,39.25
dressbarn Size Charts,XL,42.5
Eddie Bauer Size Charts,XS,33
Eddie Bauer Size Charts,S,34.5
Eddie Bauer Size Charts,M,36.5
Eddie Bauer Size Charts,L,39.25
Eddie Bauer Size Charts,XL,42.25
Eddie Bauer Size Charts,XXL,46
Eileen Fisher Size Charts,XS,34.5
Eileen Fisher Size Charts,S,36.5
Eileen Fisher Size Charts,M,38.5
Eileen Fisher Size Charts,L,41.5
Eileen Fisher Size Charts,XL,44.5
Express ,XXS,29.5-30.5
Express ,XS,31.5-32.5
Express ,S,33.5-34.5
Express ,M,35.5-37
Express ,L,38.5-40.5
Express ,XL,44.25
